Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['extensionPointsX and restPointsY'],0.0,222.119366644,0.0146346870441,0.0320640062231,0.0200967806003,-0.024101261624446355,-0.00138173414381
['extensionPointsX and extensionPointsY'],0.0,215.129674905,0.0659855597704,0.118471777184,0.0847613509288,0.040501459542563824,0.052097117475
['extensionPointsX and vectorsBetweenX'],0.0,145.296596197,0.00999218304367,0.0153111604982,0.0120926246807,-0.011641321447299444,-0.00440727636499
['extensionPointsX and vectorsBetweenY'],0.0,310.860509239,0.00864285447647,0.0181708672792,0.0117140144167,-0.0318161333934203,-0.00838767888413
['extensionPointsX and anglesBetween'],0.0,28.1525500414,0.00911696635769,0.0161246328062,0.0116480523971,-0.019394333175464774,-0.00592526668576
['extensionPointsY and restSensorValues'],0.0,39131985.3826,0.00249935586925,0.00251704886179,0.00250817116369,-0.013255161865918906,-0.0115471974298
['extensionPointsY and extensionSensorValues'],0.0,55181143.2407,0.000795256597843,0.00122221862319,0.000963558227596,-0.011201549373184365,-0.0136837799128
['extensionPointsY and restPointsX'],0.0,281.726390009,0.00258838596864,0.00335680743216,0.0029229371262,-0.004421983575489499,-0.0117326481454
['extensionPointsY and restPointsY'],0.0,297.669766738,0.0142619814748,0.0151814821881,0.0147073741191,-0.00534717614456885,0.000411779761599
['extensionPointsY and extensionPointsX'],0.0,220.024708115,0.0221787738466,0.165220308573,0.0391078100426,0.009263547938860688,0.00347104459141
['extensionPointsY and vectorsBetweenX'],0.0,281.741115751,0.0892571957512,0.199754237136,0.123382683294,0.0024205573091149873,0.0748845242628
['extensionPointsY and vectorsBetweenY'],0.0,396.53437845,0.000123906459941,0.00024596478102,0.000164795863594,-0.006959426543252904,-0.0150777589031
['extensionPointsY and anglesBetween'],0.0,129.992945809,0.0182112551827,0.035863765752,0.0241562251343,0.019756200084069024,0.00311414115978
['vectorsBetweenX and restSensorValues'],0.0,41236248.2658,0.000871896276865,0.000881880934688,0.000876860183297,-0.013789828242764285,-0.0134645787034
['vectorsBetweenX and extensionSensorValues'],0.0,51302073.356,0.000365052732982,0.000457999747033,0.000406278003941,-0.01434790260617261,-0.0138047794742
['vectorsBetweenX and restPointsX'],0.0,162.565329092,0.00716457564437,0.0230539288277,0.010931819418,0.004106061660519106,-0.0104069553157
['vectorsBetweenX and restPointsY'],0.0,248.697348103,0.0152218760088,0.0301268183537,0.0202249127551,0.011337176345417475,0.000185997669789
['vectorsBetweenX and extensionPointsX'],0.0,150.057766348,0.00118792540564,0.00265853224696,0.00164210204979,-0.008663658720783734,-0.0145745903779
['vectorsBetweenX and extensionPointsY'],0.0,276.568993682,0.0114818630297,0.0204510397153,0.014706839444,-0.015418174172806283,-0.00337944901421
