Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['extensionPointsX and vectorsBetweenY'],0.0,136.031207346,0.0295430878547,0.0298091430069,0.029675519115,0.02001319136907564,0.0167266805743
['extensionPointsX and anglesBetween'],0.0,66.8008156795,0.0032594813472,0.00380515845466,0.00351124568385,-0.011878670991496433,-0.00999774036291
['extensionPointsY and restSensorValues'],0.0,46322742.9942,0.00181848058478,0.00186859210489,0.0018431958085,-0.014680673376994408,-0.0113511679793
['extensionPointsY and extensionSensorValues'],0.0,23251881.2791,0.0388169952514,0.0415073110945,0.0401170995667,0.00680759584378361,0.02584127033
['extensionPointsY and restPointsX'],0.0,339.465038837,0.0536636920908,0.0645260729197,0.0585957220354,0.03863845446182149,0.0410500276348
['extensionPointsY and restPointsY'],0.0,167.517581353,0.00232667727942,0.00542467630753,0.00325658505224,-0.005649226490526702,-0.012501169695
['extensionPointsY and extensionPointsX'],0.0,206.76008739,0.00643291090853,0.0109910377869,0.00811576848753,-0.006057700688573132,-0.00732910185164
['extensionPointsY and vectorsBetweenX'],0.0,382.282597388,0.00345502342197,0.00345502342197,0.00345502342197,-0.015043969849246283,-0.00983276075115
['extensionPointsY and vectorsBetweenY'],0.0,138.744981829,0.00259141786189,0.00286416613419,0.00272097406433,-0.008808416931734796,-0.010707644647
['extensionPointsY and anglesBetween'],0.0,75.2605995976,8.91204896097e-05,9.86323396733e-05,9.36354720896e-05,-0.013028495108014312,-0.0135864631929
['vectorsBetweenX and restSensorValues'],0.0,44023835.1404,0.00577469300701,0.00601579740414,0.00589278002693,-0.014903719335267808,-0.00751415790145
['vectorsBetweenX and extensionSensorValues'],0.0,24369322.1859,0.00897159630289,0.00995134553974,0.00943610730251,-0.0006959727630118382,-0.00419125094215
['vectorsBetweenX and restPointsX'],0.0,374.80360049,0.0715191452535,0.0691528425219,0.0703160916005,0.09487991554499874,0.0566134505659
['vectorsBetweenX and restPointsY'],0.0,391.168084885,0.0183699894704,0.0183373372183,0.0183536488218,0.007256894049346872,0.0054039573572
['vectorsBetweenX and extensionPointsX'],0.0,327.616700632,0.00592909427631,0.00599314239185,0.00596094629585,-0.010069474980212751,-0.00717422583803
['vectorsBetweenX and extensionPointsY'],0.0,410.765905166,0.000161553300035,0.000164487952905,0.000163007419265,-0.017409654444737604,-0.0130231241143
['vectorsBetweenX and vectorsBetweenY'],0.0,298.967713871,0.00486113755057,0.00490491532686,0.00488292831853,-0.010063130123433546,-0.00828123501311
['vectorsBetweenX and anglesBetween'],0.0,210.962722022,0.0298282486153,0.030994902677,0.0304003868005,0.020652985894450075,0.0170199286593
['vectorsBetweenY and restSensorValues'],0.0,47624624.4162,0.0347701844552,0.0465690531152,0.0398138614299,0.03820507522680754,0.0217042223468
['vectorsBetweenY and extensionSensorValues'],0.0,23441020.0408,0.015352290473,0.0179224519699,0.0165381107969,0.0006136582800035241,0.00225591143255
['vectorsBetweenY and restPointsX'],0.0,219.058040115,0.000102518352355,0.000113916422236,0.000107917259931,-0.015400816111622948,-0.0131525148307
['vectorsBetweenY and restPointsY'],0.0,155.877397841,0.00511110957911,0.00733979618291,0.00602598771466,-0.02480481820209694,-0.00906335623405
['vectorsBetweenY and extensionPointsX'],0.0,128.748542031,0.000139625128047,0.000145086200363,0.000142303289558,-0.01691787142417716,-0.0130606460983
['vectorsBetweenY and extensionPointsY'],0.0,144.828327165,0.0445424415473,0.0543834858635,0.0489734754804,-0.004361041363816625,0.0315157367397
['vectorsBetweenY and vectorsBetweenX'],0.0,312.44946456,0.0367042063172,0.0428489400958,0.0395392617053,0.023099850968703445,0.0238918186694
['vectorsBetweenY and anglesBetween'],0.0,48.9704895025,0.0314306304438,0.0332543860792,0.0323167984078,0.0076995541041261625,0.0184723048856
['anglesBetween and restSensorValues'],0.0,45957960.5548,0.000161553300035,0.000164487952905,0.000163007419265,-0.017409654444737604,-0.0130231213556
['anglesBetween and extensionSensorValues'],0.0,24238087.2285,0.00214708524106,0.00213562661781,0.00214134060036,-0.015216148467390831,-0.0110137887567
['anglesBetween and restPointsX'],0.0,139.623854336,0.00577469300701,0.00601579740414,0.00589278002693,-0.014903719335267808,-0.00751415512759
['anglesBetween and restPointsY'],0.0,71.8311118502,1.67628326049e-05,4.57177193735e-05,2.45311045651e-05,-0.004601493314811589,-0.0155875598555
['anglesBetween and extensionPointsX'],0.0,66.4889797227,0.04062464465,0.0422810551485,0.0414363028117,0.006070365920399554,0.0275592606304
['anglesBetween and extensionPointsY'],0.0,82.7430239757,0.0163130892116,0.0240824851901,0.0194506321627,0.021058576224390658,0.00276299421508
['anglesBetween and vectorsBetweenX'],0.0,236.350719593,0.0111248210301,0.0110231433213,0.0110737487828,-0.010177349742739157,-0.00227947097921
['anglesBetween and vectorsBetweenY'],0.0,47.414267444,0.0634845328253,0.0640562532605,0.0637691116322,0.07264675398096672,0.0511163756187
